16	5
33	5
53	5
55	5
67	5
71	5
86	5
98	5
106	5
120	5
125	5
126	5
131	5
138	5
149	5
152	5
161	5
162	5
172	5
180	5
193	5
203	5
213	5
216	5
223	5
228	5
229	5
236	5
250	5
263	5
270	5
278	5
293	4
296	4
298	4
303	4
314	4
326	4
340	4
352	4
396	4
402	4
417	4
421	4
426	4
466	4
470	4
484	4
531	4
532	4
548	4
578	4
594	4
601	4
602	4
607	4
609	4
621	4
627	4
633	4
658	4
659	4
679	4
690	4
705	4
706	4
708	4
716	4
720	4
727	4
736	4
737	4
742	4
744	4
777	4
778	4
779	4
782	4
783	4
795	4
813	4
838	4
842	4
843	4
844	4
847	4
884	4
885	4
888	4
896	4
907	4
910	4
925	4
944	4
953	4
960	4
978	4
984	4
985	4
995	4
