12	0
39	0
51	0
72	0
80	0
87	0
104	6
133	9
135	9
141	3
142	3
144	3
150	3
153	4
183	3
191	3
197	3
200	5
208	6
209	6
217	8
218	8
223	3
226	1
246	7
251	8
257	8
259	8
285	7
287	7
293	7
303	3
320	1
321	1
330	1
347	1
356	1
364	0
366	0
383	0
392	5
399	5
400	5
413	5
418	5
421	5
427	5
430	1
432	1
441	1
445	1
453	9
461	9
469	5
477	5
478	5
490	4
492	4
516	1
518	1
519	1
525	8
526	8
543	7
548	0
583	4
603	3
611	2
622	8
625	8
632	7
649	7
683	4
692	4
694	4
710	4
713	4
736	8
741	8
744	8
766	6
782	4
797	4
800	4
806	4
821	3
841	2
892	6
902	6
903	6
911	6
915	5
921	5
922	5
932	4
936	4
937	4
963	4
981	4
989	4
